mutcd_code,description,sign_text,category
W3-4,prepare to stop,BE PREPARED TO STOP,warning
W3-5,reduce speed,SPEED LIMIT [[speed]],warning
W3-5a,slower zone ahead,[[speed]] SPEED ZONE AHEAD,warning
W3-6,draw bridge,DRAW BRIDGE AHEAD,warning
W4-1L,merges from left, ,warning
W4-1R,merges from right, ,warning
W4-2L,merge right, ,warning
W4-2R,merge left, ,warning
W4-3L,roads join left, ,warning
W4-3R,roads join right, ,warning
W4-5,merge at angle, ,warning
W4-6,roads join at angle, ,warning
W4-4a,traffic from left,TRAFFIC FROM LEFT,warning
W4-4b,oncoming traffic,ONCOMING TRAFFIC,warning
W4-4c,cross traffic,CROSS TRAFFIC DOES NOT STOP,warning
W5-1,road narrows,ROAD NARROWS,warning
W5-2,narrow bridge,NARROW BRIDGE,warning
W5-3,one lane bridge,ONE LANE BRIDGE,warning
W5-4,ramp narrows,RAMP NARROWS,warning
W5-4a,bikeway narrows,BIKEWAY NARROWS,warning
W6-1,divider ahead, ,warning
W6-1a,divided highway,DIVIDED HIGHWAY,warning
W6-1b,divided road,DIVIDED ROAD,warning
W6-2,divider ends, ,warning
W6-2a,divided highway ends,DIVIDED HIGHWAY ENDS,warning
W6-2b,divided road ends,DIVIDED ROAD ENDS,warning
W6-3,oncoming traffic textless, ,warning
W6-4,oncoming traffic temp, ,worker
W7-1,hill warning, ,warning
W7-1a,hill,HILL,warning
W7-1b,hill grade,[[grade]],warning
W7-2,use low gear,USE LOW GEAR,warning
W7-2b,trucks use low gear,TRUCKS USE LOW GEAR,warning
W7-3,grade,[[grade]] GRADE,warning
W7-3a,next miles,NEXT [[distance]] MILES,warning
W7-3b,grade next miles,[[grade]] GRADE [[distance]] MILES,warning
W7-4,runaway truck ramp ahead,RUNAWAY TRUCK RAMP 1 MILE,warning
W7-4b,runaway truck ramp,RUNAWAY TRUCK RAMP,warning
W7-4c,truck escape,TRUCK ESCAPE RAMP,warning
W7-4d,sand,SAND,warning
W7-4e,gravel,GRAVEL,warning
W7-4f,paved,PAVED,warning
W7-5,bike hill, ,warning
W7-6,blocks view,HILL BLOCKS VIEW,warning
W7-5a,hill alt,HILL,warning
W8-1,bump,BUMP,warning
W8-2,dip,DIP,warning
W8-3,pavement ends,PAVEMENT ENDS,warning
W8-4,soft shoulder,SOFT SHOULDER,warning
W8-5,skid risk, ,warning
W8-6,truck crossing,TRUCK CROSSING,warning
W8-7,loose gravel,LOOSE GRAVEL,warning
W8-8,rough,ROUGH ROAD,warning
W8-9,low,LOW SHOULDER,warning
W8-9A,shoulder drops,SHOULDER DROP OFF,warning
W8-10,skid bike, ,warning
W8-10a,slippery,SLIPPERY WHEN WET,warning
W8-11,uneven lanes,UNEVEN LANES,warning
W8-12,no center,NO CENTER STRIPE,warning
W8-13,icy bridge,BRIDGE ICES BEFORE ROAD,warning
W9-1R,right ends,RIGHT LANE ENDS,warning
W9-1L,left ends,LEFT LANE ENDS,warning
W9-2L,left ends 2,LANE ENDS MERGE LEFT,warning
W9-2R,right ends 2,LANE ENDS MERGE RIGHT,warning
W9-3,center closed,CENTER LANE CLOSED AHEAD,worker
W9-3L,left closed,LEFT LANE CLOSED AHEAD,worker
W9-3R,right closed,RIGHT LANE CLOSED AHEAD,worker
W9-3a,lane closed, ,worker
W10-1,railroad,R R,rail
W10-1a,exempt,EXEMPT,warning
W10-2R,tracks on right, ,rail
W10-2L,tracks on left, ,rail
W10-3R,tracks on right 2, ,rail
W10-3L,tracks on left 2, ,rail
W10-4R,tracks on right T, ,rail
W10-4L,tracks on left T, ,rail
W10-5,hitch might catch, ,rail
W10-8,fast trains,TRAINS MAY EXCEED 80 MPH,rail
W10-9,train no horn,NO TRAIN HORN,rail
W10-10,no signal,NO SIGNAL,warning
W10-11,tracks at T, ,rail
W10-11a,tracks and highway,[[distance]] FEET BETWEEN TRACKS AND HIGHWAY,rail
W10-11b,tracks and highway behind,[[distance]] FEET BETWEEN TRACKS AND HIGHWAY BEHIND YOU,rail
W10-12,tracks at angle, ,rail
W11-1,bicycles, ,school_pedestrian
W11-2,pedestrian, ,school_pedestrian
W11-3,deer, ,warning
W11-4,livestock, ,warning
W11-5,tractors, ,warning
W11-5a,tractors alt, ,warning
W11-6,recreational vehicles, ,warning
W11-7,horses, ,warning
W11-8,large vehicles, ,warning
W11-9,accessiblity ramp, ,school_pedestrian
W11-10,trucks, ,warning
W11-11,golf cart, ,warning
W11-12p,emergency signal ahead, ,warning
W11-14,carriage, ,warning
W12-1,double arrow, ,warning
W12-2,clearance,[[height]],warning
W12-2p,clearance alt,[[height]],warning
W13-1,reccommended speed,[[speed]] warning,warning
W13-2,reccommended exit,EXIT [[speed]] MPH,warning
W13-3,reccommended ramp,RAMP [[speed]] MPH,warning
W13-4,on ramp,ON RAMP,worker
W13-5,reccommended curve,CURVE [[speed]] MPH,warning
W14-1,dead end,DEAD END,warning
W14-1aR,dead end right,DEAD END,warning
W14-1aL,dead end left,DEAD END,warning
W14-2,no outlet,NO OUTLET,warning
W14-3,no passing,NO PASSING ZONE,warning
W15-1,children, ,school_pedestrian
W16-1,share,SHARE THE ROAD,warning
W16-2,distance feet,[[distance]] FEET,warning
W16-2a,distance ft,[[distance]] FT,warning
W16-3,distance miles,[[distance]] MILES,warning
W16-3a,distance mi,[[distance]] MILES,warning
W16-4,next distance,NEXT [[distance]] FT,warning
W16-5pL,arrow left, ,warning
W16-5pR,arrow right, ,warning
W16-6pL,on left turn, ,warning
W16-6pR,on right turn, ,warning
W16-7pL,on left, ,warning
W16-7pR,on right, ,warning
W16-8,street ahead,[[street]],warning
W16-8a,street ahead alt,[[street]] [[street]],warning
W16-9p,ahead,AHEAD,warning
W16-13,when flashing,WHEN FLASHING,warning
W16-12p,circle,TRAFFIC CIRCLE,warning
W17-1,speed hump,SPEED HUMP,warning
W18-1,no signs,NO TRAFFIC SIGNS,warning
W25-1,oncoming green,ONCOMING TRAFFIC HAS EXTENDED GREEN,warning
W25-2,oncoming green maybe,ONCOMING TRAFFIC MAY HAVE EXTENDED GREEN,warning
M1-1,interstate,INTERSTATE [[number]],highway
M1-2,business loop,BUSINESS LOOP [[number]],highway
M1-3,business spur,BUSINESS SPUR [[number]],highway
M1-4,highway,[[number]],highway
M1-5,route,[[number]],highway
M1-6,county,[[county]],locational
M1-7,national forest,National Forest,recreation
M1-8,bike route,[[number]],locational
M1-9,scenic bike route,[[number]],recreation
M1-10,interstate system,[[interstate]],locational
M1-10a,interstate system alt,[[interstate]],locational
M2-1,junction,JCT,locational
M2-2,junction,JUNCTION [[highway]] [[route]],locational
M3-1,north,NORTH,locational
M3-2,east,EAST,locational
M3-3,south,SOUTH,locational
M3-4,west,WEST,locational
M4-1,alternate,ALTERNATE,locational
M4-1a,alt,ALT,locational
M4-2,bypass,BY-PASS,locational
M4-3,business,BUSINESS,locational
M4-5,to,TO,locational
M4-4,truck,TRUCK,locational
M4-6,end,END,locational
M4-7,temporary,TEMPORARY,locational
M4-11,begin,BEGIN,locational
M4-12,end,END,locational
M4-13,to,TO,locational
M5-1L,service arrow, ,service
M5-1R,service arrow, ,service
M5-2L,service arrow, ,service
M5-2R,service arrow, ,service
M6-1,service arrow, ,service
M16-2R,service arrow, ,service
M16-2L,service arrow, ,service
M6-3,service arrow, ,service
M6-4,double service arrow, ,service
M6-5R,double service arrow, ,service
M6-5L,double service arrow, ,service
M6-6L,double service arrow, ,service
M6-6R,double service arrow, ,service
M6-7,arrows, ,locational
M6-9,arrows, ,locational
M7-1,directional arrow, ,locational
M7-2,directional arrow, ,locational
M7-3R,double directional arrow, ,locational
M7-3L,double directional arrow, ,locational
M7-4R,directional arrow, ,locational
M7-4L,directional arrow, ,locational
M7-5,double directional arrow, ,locational
M7-6R,double directional arrow, ,locational
M7-6L,double directional arrow, ,locational
D1-1,destination,[[destination]],locational
D1-1a,destination distance,[[destination]] [[distance]],locational
D1-c,street sign,[[street]],locational
D1-bL,destination left,[[destination]],locational
D1-bR,destination right,[[destination]],locational
D1-2,double destination,[[destination]] [[destination]],locational
D1-2a,double destination distance,[[destination]] [[distance]] [[destination]] [[disatnce]],locational
D1-3,triple destination,[[destination]] [[destination]] [[destination]],locational
D1-3a,triple destination distances,[[destination]] [[distance]] [[destination]] [[distance]] [[destination]] [[distance]],locational
D2-1,destination distance no arrow,[[destination]] [[distance]],locational
D2-2,double destination distance no arrow,[[destination]] [[distance]] [[destination]] [[distance]],locational
D2-3,triple destination distance no arrow,[[destination]] [[distance]] [[destination]] [[distance]] [[destination]] [[distance]],locational
D3,street sign,[[street]],locational
D4-1,parking,PARKING,service
D4-2,park and right,PARK AND RIDE,service
D4-3,bike parking,PARKING,service
D5-1,rest area,REST AREA [[distance]],service
D5-1a,rest area alt,REST AREA [[distance]],service
D5-2,rest area exit,REST AREA,service
D5-3,parking ahead,PARKING AREA [[distance]],service
D5-4,parking exit,PARKING AREA,service
D5-5,roadside table,ROADSIDE TABLE,service
D5-5a,table, ,service
D5-5b,roadside park,ROADSIDE PARK,service
D5-7,rest plus tourist,REST AREA TOURIST INFO CENTER [[distance]],service
D5-7a,tourist info,TOURIST INFO CENTER,service
D5-9a,welcome center,[[location]] WELCOME CENTER,service
D5-8,rest and tourist exit,REST AREA TOURIST INFO CENTER,service
D5-9,rest plus welcome,REST AREA [[location]] WELCOME CENTER [[distance]],service
D5-10,rest and welcom exit,REST AREA [[location]] WELCOME CENTER,service
D6-1,scenic area,SCENIC AREA,service
D6-2,scenic overlook,SCENIC OVERLOOK [[distance]],service
D6-3,scenic exit,SCENIC OVERLOOK,service
D7-1,national park ahead,[[park]] NATIONAL PARK DISTANCE,recreation
D7-2,national park,[[park]] NATIONAL PARK,recreation
D8-1,weigh station ahead,WEIGH STATION [[distance]],locational
D8-2,weigh station next,WEIGH STATION NEXT RIGHT OPEN CLOSED,locational
D8-3,weigh station exit,WEIGH STATION,locational
D9-1,public phone, ,service
D9-1a,public phone alt, ,service
D9-1b,public phone distance,[[distance]],service
D9-2,hospital, ,service
D9-3,camping, ,service
D9-3a,rv camping, ,service
D9-4,rubbish bin, ,service
D9-6,accessible, ,service
D9-7,gas, ,service
D9-8,food, ,service
D9-9,lodging, ,service
D9-10,info, ,service
D9-11,diesel, ,service
D9-11a,alternative fuel, ,service
D9-12,septic dump station, ,service
D9-13,emergency care, ,service
D9-14,police,POLICE,service
D9-15,propane, ,service
D9-16,truck parking, ,service
D9-18,multi-service, ,service
D10-1,single digit mile marker,MILE [[digit]],locational
D10-2,double digit mile marker,MILE [[digit]] [[digit]],locational
D10-2a,decimal mile marker,MILE [[digit]] [[digit]] [[point digit]],locational
D10-3,triple digit mile marker,MILE [[digit]] [[digit]] [[digit]],locational
D10-3a,decimal triple mile maker,MILE [[digit]] [[digit]] [[digit]] [[point digit]],locational
